Neighborhood,Potentially_Life_Threatening,total,Non_Life_threatening,Fire,Alarm
Western Addition,5236,10707,2597,249,2625
West of Twin Peaks,2757,6402,1667,196,1782
Visitacion Valley,1942,3717,914,186,675
Twin Peaks,805,1970,474,23,668
Treasure Island,1000,2239,729,198,312
Tenderloin,24418,43880,11393,552,7517
Sunset/Parkside,5141,10864,3067,376,2280
South of Market,18171,32595,8761,484,5179
Seacliff,152,544,115,12,265
Russian Hill,1797,4492,1022,183,1490
Presidio Heights,915,2583,652,79,937
Presidio,387,1595,290,472,446
Potrero Hill,2543,5523,1145,308,1527
Portola,1409,2910,883,129,489
Pacific Heights,2109,6114,1323,128,2554
Outer Richmond,3116,7201,1900,305,1880
Outer Mission,1959,4333,1222,174,978
Oceanview/Merced/Ingleside,2170,4005,942,143,750
North Beach,3021,6580,1640,330,1589
Noe Valley,1153,3210,753,130,1174
Nob Hill,4311,9901,2426,218,2946
Mission Bay,2070,4910,1292,165,1383
Mission,13580,27103,7589,719,5215
McLaren Park,95,375,84,34,162
Marina,2455,6116,1409,206,2046
Lone Mountain/USF,1458,3627,1152,73,944
Lincoln Park,86,259,53,48,72
Lakeshore,1660,4547,1244,273,1370
Japantown,1360,2787,817,21,589
Inner Sunset,1936,4567,1129,165,1337
Inner Richmond,1741,3997,1003,129,1124
Hayes Valley,3870,7819,1736,251,1962
Haight Ashbury,2048,4547,1236,128,1135
Golden Gate Park,789,1738,505,250,194
Glen Park,570,1516,477,69,400
Financial District/South Beach,10315,23853,5553,889,7096
Excelsior,3370,6199,1659,149,1021
Chinatown,2484,5987,1372,140,1991
Castro/Upper Market,3842,8298,2242,298,1916
Bernal Heights,2345,4976,1229,314,1088
Bayview Hunters Point,7580,15661,3841,1057,3183
